"date_hour","T_15_crop","M_15_crop","T_15_meadow","M_15_meadow","T_15_forest","M_15_forest","AirTempHourely","PrecHourely","sum_24","sum_48","sum_72","sum_96","sum_120","sum_144","sum_168","sum_192","sum_216","sum_240","SoilTempHourely","SoilMoiHourely"
2022-12-10 00:00:00,2.13,15.03,1.7,18.55,3.56,24.28,-3.67,0,0,0.03,0.04,0.06,0.13,0.21,0.2,0.19,0.19,0.19,3.41,32.19
2022-12-10 01:00:00,2.03,15.01,1.69,18.55,3.48,24.27,-3.77,0,0,0.03,0.04,0.06,0.13,0.21,0.2,0.19,0.19,0.19,3.4,32.19
2022-12-10 02:00:00,2.04,15,1.71,18.54,3.48,24.25,-3.91,0,0,0.03,0.04,0.06,0.12,0.21,0.2,0.19,0.19,0.19,3.39,32.18
2022-12-10 03:00:00,1.99,14.99,1.64,18.55,3.45,24.25,-3.94,0,0,0.03,0.04,0.05,0.12,0.21,0.2,0.19,0.19,0.19,3.38,32.19
2022-12-10 04:00:00,1.96,14.98,1.56,18.56,3.47,24.24,-3.69,0,0,0.02,0.04,0.05,0.12,0.21,0.2,0.19,0.19,0.19,3.38,32.2
2022-12-10 05:00:00,1.95,14.96,1.56,18.55,3.44,24.23,-3.62,0,0,0.02,0.04,0.05,0.12,0.21,0.2,0.19,0.19,0.19,3.37,32.19
2022-12-10 06:00:00,1.92,14.96,1.53,18.56,3.41,24.23,-3.75,0,0,0.02,0.04,0.05,0.12,0.21,0.2,0.19,0.19,0.19,3.36,32.17
2022-12-10 07:00:00,1.96,14.98,1.5,18.56,3.43,24.21,-3.81,0,0,0.02,0.04,0.05,0.12,0.21,0.2,0.19,0.19,0.19,3.35,32.16
2022-12-10 08:00:00,1.92,14.93,1.52,18.55,3.43,24.21,-3.75,0,0,0.02,0.04,0.05,0.12,0.2,0.2,0.19,0.19,0.19,3.35,32.12
2022-12-10 09:00:00,1.95,14.98,1.5,18.55,3.43,24.21,-3.51,0,0,0.02,0.04,0.05,0.12,0.2,0.2,0.19,0.19,0.19,3.34,32.13
2022-12-10 10:00:00,1.97,14.97,1.54,18.54,3.42,24.2,-3.35,0,0,0.02,0.04,0.05,0.12,0.19,0.2,0.19,0.19,0.19,3.33,32.14
2022-12-10 11:00:00,1.95,14.96,1.52,18.54,3.4,24.19,-3.36,0,0,0.02,0.04,0.04,0.12,0.18,0.2,0.19,0.19,0.19,3.33,32.12
2022-12-10 12:00:00,1.98,14.99,1.51,18.54,3.4,24.18,-3.54,0,0,0.01,0.03,0.04,0.12,0.17,0.2,0.19,0.19,0.19,3.32,32.09
2022-12-10 13:00:00,1.94,15.07,1.53,18.54,3.41,24.17,-3.68,0,0,0,0.03,0.04,0.12,0.16,0.2,0.19,0.19,0.19,3.31,32.1
2022-12-10 14:00:00,1.95,15.13,1.53,18.54,3.42,24.15,-3.75,0,0,0,0.03,0.04,0.11,0.15,0.2,0.19,0.19,0.19,3.31,32.09
2022-12-10 15:00:00,1.97,15.18,1.52,18.54,3.42,24.15,-4.31,0,0,0,0.03,0.04,0.11,0.14,0.2,0.19,0.19,0.19,3.31,32.07
2022-12-10 16:00:00,1.94,15.18,1.5,18.55,3.41,24.14,-4.49,0,0,0,0.03,0.04,0.1,0.14,0.2,0.19,0.19,0.19,3.31,32.06
2022-12-10 17:00:00,1.91,15.16,1.5,18.54,3.4,24.12,-4.51,0,0,0,0.03,0.04,0.1,0.13,0.2,0.19,0.19,0.19,3.3,32.07
2022-12-10 18:00:00,1.97,15.1,1.51,18.54,3.41,24.11,-4.57,0,0,0,0.03,0.04,0.09,0.13,0.2,0.19,0.19,0.19,3.29,32.05
2022-12-10 19:00:00,1.99,15.07,1.5,18.54,3.43,24.1,-4.74,0,0,0,0.03,0.04,0.09,0.13,0.2,0.19,0.19,0.19,3.29,32.05
2022-12-10 20:00:00,1.94,15.04,1.51,18.53,3.41,24.09,-4.78,0,0,0,0.03,0.04,0.08,0.13,0.2,0.19,0.19,0.19,3.29,32.03
2022-12-10 21:00:00,1.97,15,1.5,18.53,3.4,24.08,-4.95,0,0,0,0.03,0.04,0.08,0.13,0.2,0.19,0.19,0.19,3.27,32.03
2022-12-10 22:00:00,1.97,14.97,1.5,18.52,3.43,24.07,-4.96,0,0,0,0.02,0.04,0.07,0.13,0.2,0.19,0.19,0.19,3.27,32
2022-12-10 23:00:00,1.93,14.89,1.5,18.52,3.4,24.06,-5,0,0,0,0.02,0.04,0.06,0.12,0.2,0.19,0.19,0.19,3.26,32.01
2022-12-11 00:00:00,1.93,14.83,1.53,18.51,3.4,24.05,-5.14,0,0,0,0.02,0.04,0.06,0.12,0.2,0.19,0.19,0.19,3.24,31.99
